需backfill股票: 85
已完成 0，待抓 85
[1/85] 00092 57行
[2/85] 00100 57行
[3/85] 00261 57行
[4/85] 00290 57行
[5/85] 00348 57行
[6/85] 00377 57行
[7/85] 00389 57行
[8/85] 00419 57行
[9/85] 00476 57行
[10/85] 00544 57行
[11/85] 00568 57行
[12/85] 00601 57行
[13/85] 00643 57行
[14/85] 00804 57行
[15/85] 00875 57行
[16/85] 00899 57行
[17/85] 00931 57行
[18/85] 00979 57行
[19/85] 01020 57行
[20/85] 01091 57行
[21/85] 01094 57行
[22/85] 01160 57行
[23/85] 01332 57行
[24/85] 01333 57行
[25/85] 01384 57行
[26/85] 01416 57行
[27/85] 01429 57行
[28/85] 01449 57行
[29/85] 01452 57行
[30/85] 01539 57行
[31/85] 01626 57行
[32/85] 01716 57行
[33/85] 01725 57行
[34/85] 01783 57行
[35/85] 01865 57行
[36/85] 01869 57行
[37/85] 01870 57行
[38/85] 01894 57行
[39/85] 01918 57行
[40/85] 01985 57行
[41/85] 02113 57行
[42/85] 02330 57行
[43/85] 02350 57行
[44/85] 02369 57行
[45/85] 02410 57行
[46/85] 02431 57行
[47/85] 02473 57行
[48/85] 02477 57行
[49/85] 02501 57行
[50/85] 02511 57行
[51/85] 02513 57行
[52/85] 02595 57行
[53/85] 02603 57行
[54/85] 02652 57行
[55/85] 02685 57行
[56/85] 03317 57行
[57/85] 03669 57行
[58/85] 03680 57行
[59/85] 03919 57行
[60/85] 06082 57行
[61/85] 06651 57行
[62/85] 06990 57行
[63/85] 08079 57行
[64/85] 08125 57行
[65/85] 08160 57行
[66/85] 08198 57行
[67/85] 08239 57行
[68/85] 08245 57行
[69/85] 08247 57行
[70/85] 08340 57行
[71/85] 08365 57行
[72/85] 08367 57行
[73/85] 08368 57行
[74/85] 08373 57行
[75/85] 08377 57行
[76/85] 08401 57行
[77/85] 08406 57行
[78/85] 08412 57行
[79/85] 08482 57行
[80/85] 08547 57行
[81/85] 08635 57行
[82/85] 09689 57行
[83/85] 09903 57行
[84/85] 09963 57行
[85/85] 09988 57行
完成，新增4760行
