stock_code,stock_name,ann_date,crash_date,completion_gap_days,disclosure_type,n_named,pcts,reorg_nearby,known_name_overlap,max_drawdown_90
00145,信能低碳,2025-10-09,2025-12-22,,UNKNOWN,0,[],,[],
00254,國家聯合資源,2026-05-28,2026-06-25,,DIRECT_SUBSCRIPTION,3,[],,['付尚輝'],-0.8814
00362,中國天化工,2025-03-03,2025-05-06,,NO_DEF,0,[],,[],-0.4643
00648,京玖康療,2026-03-10,2026-06-01,25.0,NO_DEF,0,[],"=""20:1""@19/05/26",[],-0.8714
00653,卓悅控股,2025-04-17,2025-05-12,,NO_DEF,0,[],"=""30:1""@11/09/26",[],-0.966
01010,天璽曜１１,2024-05-10,2025-05-02,,UNKNOWN,0,[],,[],-0.8121
01421,恒昌集團國際,2024-03-22,2025-05-15,,UNKNOWN,0,[],,[],-0.54
01796,中國數智科技,2026-02-13,2026-04-09,,AGENT_SOURCED,0,[],,[],-0.8977
01872,冠轈控股,2024-07-12,2024-10-14,,UNKNOWN,0,[],,[],0.0
01894,恒益控股,2025-12-11,2026-04-08,,UNKNOWN,0,[],"=""20:1""@04/02/26",[],-0.6169
01961,多牛科技,2026-03-04,2026-03-30,,AGENT_SOURCED,0,[],,[],-0.6754
02110,天成控股,2025-10-10,2025-12-05,14.0,AGENT_SOURCED,0,[],"=""10:1""@03/09/26",[],-0.2414
02330,中國上城,2025-10-17,2025-11-27,30.0,AGENT_SOURCED,0,[],,[],-0.4815
02617,藥捷安康－Ｂ,2026-04-15,2026-06-23,27.0,AGENT_SOURCED,0,[],,[],-0.8706
02617,藥捷安康－Ｂ,2026-05-19,2026-06-23,27.0,AGENT_SOURCED,0,[],,[],-0.8047
02685,量化派,2026-07-10,2026-07-28,,DIRECT_SUBSCRIPTION,1,[],,[],-0.7273
08087,中國三三集團,2024-10-21,2025-05-02,,UNKNOWN,0,[],"=""1:5""@28/04/26",[],-0.5556
08426,雅居投資控股,2024-07-30,2025-05-02,,AGENT_SOURCED,0,[],,[],-0.3808
