% of issued voting shares,Average price per share,Date of relevant event (dd/mm/yyyy),Form Serial Number,Interests in debentures,Interests in shares of associated corporation,Name of substantial shareholder / director / chief executive,No. of shares bought / sold / involved,No. of shares interested (See *Notes above),Reason for disclosure
"8.58(L)","HKD 0.7700","12/06/2026","DA20260615E00285","","","fu shanghui","58,000,000(L)","58,000,000(L)","1101(L)"
"9.11(L)","","12/06/2026","DA20260615E00014","","","Guo Peiyuan","","61,550,000(L)","1711(L)"
"9.11(L)","","12/06/2026","CS20260615E00023","","","Hontin Ocean Resources Limited","","61,550,000(L)","1213(L)"
"14.39(L)","","12/06/2026","DA20260615E00016","","","Ji Kaiping","","97,250,000(L)","1711(L)"
"5.92(L)","","12/06/2026","IS20260617E00232","","","LI ZIWEI","","40,000,000(L)","1213(L)"
"14.39(L)","","12/06/2026","CS20260615E00020","","","Thousand Joy Limited","","97,250,000(L)","1213(L)"
"0.00(L)","HKD 0.9500","29/05/2026","DA20260602E00374","","","he yuanfan","34,800,000(L)","200,000(L)","1201(L)"
"2.66(L)","HKD 0.8400","27/05/2026","DA20260602E00354","","","HOT MEDIATECH GROUP PTE. LTD.","20,000,000(L)","15,000,000(L)","1201(L)"
"2.66(L)","HKD 0.8400","27/05/2026","DA20260602E00342","","","Li Jiayi","20,000,000(L)","15,000,000(L)","1201(L)"
"0.00(L)","HKD 0.7300","13/05/2026","DA20260606E00017","","","Kang Si","55,000,000(L)","0(L)","1201(L)"
"12.42(L)","HKD 0.6600","24/04/2026","DA20260602E00373","","","he yuanfan","35,000,000(L)","35,000,000(L)","1101(L)"
"6.21(L)","HKD 0.6600","24/04/2026","DA20260602E00353","","","HOT MEDIATECH GROUP PTE. LTD.","35,000,000(L)","35,000,000(L)","1201(L)"
"6.21(L)","HKD 0.6600","24/04/2026","DA20260602E00341","","","Li Jiayi","35,000,000(L)","35,000,000(L)","1201(L)"
