stock_code,ann_date,R3_offchain_block_25_30,R5_insider_sell_high,R6_director_sell_next_day,R3_evidence,R5_evidence,R6_evidence
00254,2026-05-28,FALSE,TRUE,TRUE,DI 00254窗口2026-02-27..2026-08-26共13宗申報; 事件後最大塊: 付尚輝8.58%(2026-06-12場外認購@0.77 DA20260615E00285)、Ji Kaiping/Thousand Joy 14.39%(2026-06-12); 無任何申報落25-29.99%帶. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=27/02/2026&sced=26/08/2026&sc=00254&src=MAIN&lang=EN,"DI Form3A DA20260602E00374 董事賀遠帆(HE YUANFAN) 2026-05-29場內沽34,800,000股 均價HKD0.95(高0.96) 高於公告認購價0.77(任一口徑0.85亦低於0.95) 持倉6.21%→0.00%; 申報日2026-06-02. 前置部署: DA20260602E00373 2026-04-24場外@0.66買入35,000,000股(12.42%). src=https://di.hkex.com.hk/di/NSForm3A.aspx?fn=DA20260602E00374","DI Form3A DA20260602E00374: 公告2026-05-28翌交易日(05-29)董事賀遠帆場內(On Exchange)減持34,800,000股 均價HKD0.95/高0.96(公告前收0.77) 持倉清至0.00%. src=https://di.hkex.com.hk/di/NSForm3A.aspx?fn=DA20260602E00374"
02113,2026-09-02,TRUE,FALSE,FALSE,"DI Form1 IS20260902E00490 鄧林輝(DENG LINHUI) 2026-09-01場外現金認購225,330,000股 均價HKD0.134 0%→28.00% 落25-29.99%帶(低於30%全面要約線; 認購新股非二手塊轉讓); 申報日2026-09-02與公告同日. src=https://di.hkex.com.hk/di/NSForm1.aspx?fn=IS20260902E00490","DI 02113窗口2026-06-04..2026-09-20(事件後90日至2026-12-01未屆滿)全部申報僅2宗: 鄧林輝認購(2026-09-01 IS20260902E00490)及20合1股本調整(2026-09-14 IS20260915E00640 225,330,000→11,266,500股 28.00%不變); 0宗沽售→無高於公告價離場. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=04/06/2026&sced=20/09/2026&sc=02113&src=MAIN&lang=EN",DI窗口2026-06-04..2026-09-20內無任何Form3/3A董事申報(僅IS股東申報2宗)→無董事公告翌日場內減持. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=04/06/2026&sced=20/09/2026&sc=02113&src=MAIN&lang=EN
00145,2025-10-09,FALSE,FALSE,FALSE,DI窗口2025-07-11..2026-01-07共3宗 全部Cheng Lut Tim(1706/1301/1213借貸池類 無沽售無價格) 最高1.56% 無25-29.99%塊. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=11/07/2025&sced=07/01/2026&sc=00145&src=MAIN&lang=EN,DI窗口3宗均非沽售(借貸池/雜項) → 無高價離場(供股認購價欄無值 不影響). src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=11/07/2025&sced=07/01/2026&sc=00145&src=MAIN&lang=EN,公告2025-10-09翌交易日(10-10)無任何DI申報. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=11/07/2025&sced=07/01/2026&sc=00145&src=MAIN&lang=EN
00648,2026-03-10,FALSE,TRUE,FALSE,DI窗口10-12-2025..08-06-2026共6宗 全為買入@2.20或1711 落點51.00%(07-05)與30.30%(15-05)均無落25-29.99%帶(30.30%貼30%線上停). src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=10/12/2025&sced=08/06/2026&sc=00648&src=MAIN&lang=EN,"DI Form1 IS20260625E00454 黃杰(Huang Jie) 2026-05-15沽22,250,000股@2.20(清單代碼1201惟Form原文係sale) 51.00%→30.30% 高於認購價0.28; 惟同一人07-05(IS20260625E00452)以同價2.20買入25,000,000股至51.00%——平手搬倉非低位買入獲利 且非公告時既有股東(公告時0%). src=https://di.hkex.com.hk/di/NSForm1.aspx?fn=IS20260625E00454",公告2026-03-10翌交易日(03-11)無任何DI申報; 窗內無董事沽售. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=10/12/2025&sced=08/06/2026&sc=00648&src=MAIN&lang=EN
01421,2024-03-22,FALSE,FALSE,FALSE,"DI窗口2023-12-23..2024-06-20共2宗(2024-04-23申報+2025-05-19重報) 全部YAO RUNXIONG 1316借貸池 739,250股@0.013 3.64% 無沽售無大塊. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=23/12/2023&sced=20/06/2024&sc=01421&src=MAIN&lang=EN",DI窗口2宗均為1316借貸池類非沽售 → 無高價離場. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=23/12/2023&sced=20/06/2024&sc=01421&src=MAIN&lang=EN,公告2024-03-22翌交易日(03-25)無任何DI申報. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=23/12/2023&sced=20/06/2024&sc=01421&src=MAIN&lang=EN
01796,2026-02-13,FALSE,FALSE,FALSE,DI窗口9宗: 控股股東TSE'S FINANCE/謝兆凱 2026-04-02..04-09連環場內沽售(均價1.61/1.41/0.389); 謝兆凱個人04-09沽售後落27.96%(帶內但係場內沽售非場外易手) 公司層仍持53.30% 無場外塊易手. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=15/11/2025&sced=14/05/2026&sc=01796&src=MAIN&lang=EN,"DI Form1 IS20260414E00075 謝兆凱(TSE SHIU HOI) 2026-04-09(crash日)場內沽51,129,643股 最高1.44/均價0.389 38.61%→27.96%; 窗內沽售價(1.61/1.41/0.389)全低於認購價3.0 → 無高於公告價離場. src=https://di.hkex.com.hk/di/NSForm1.aspx?fn=IS20260414E00075",公告2026-02-13翌交易日(02-16)無任何DI申報. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=15/11/2025&sced=14/05/2026&sc=01796&src=MAIN&lang=EN
01894,2025-12-11,FALSE,FALSE,FALSE,DI窗口2025-09-12..2026-03-11僅1宗且已於2026-04-02撤回(IS20260330E00519 LONG GUANGSHENG買入@0.80→10.42% withdrawn) 無有效沽售/大塊. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=12/09/2025&sced=11/03/2026&sc=01894&src=MAIN&lang=EN,DI窗口唯一申報係已撤回嘅買入通知 → 無沽售. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=12/09/2025&sced=11/03/2026&sc=01894&src=MAIN&lang=EN,公告2025-12-11翌交易日(12-12)無任何DI申報. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=12/09/2025&sced=11/03/2026&sc=01894&src=MAIN&lang=EN
01961,2026-03-04,FALSE,FALSE,FALSE,DI窗口2025-12-04..2026-06-02零申報(Total records:0). src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=04/12/2025&sced=02/06/2026&sc=01961&src=MAIN&lang=EN,DI窗口零申報 → 無沽售. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=04/12/2025&sced=02/06/2026&sc=01961&src=MAIN&lang=EN,公告2026-03-04翌交易日(03-05)無任何DI申報(窗口零申報). src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=04/12/2025&sced=02/06/2026&sc=01961&src=MAIN&lang=EN
02110,2025-10-10,FALSE,FALSE,FALSE,DI窗口7宗最高8.76%(ouyang chengguo 21-11 1213) 無25-29.99%塊. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=12/07/2025&sced=08/01/2026&sc=02110&src=MAIN&lang=EN,"DI窗口7宗無沽售: LIN LIN(林琳) 2025-10-03申報(IS20251013E00486)經Form詳情證實係場內買入2,630,000股@0.117 5.16%→6.04%; 董事LUO HAO/ouyang jianwen/WONG YUK僅1711/1706無價格申報. src=https://di.hkex.com.hk/di/NSForm1.aspx?fn=IS20251013E00486",公告2025-10-10翌交易日(10-13)無沽售申報. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=12/07/2025&sced=08/01/2026&sc=02110&src=MAIN&lang=EN
02330,2025-10-17,FALSE,FALSE,FALSE,DI窗口4宗最高15.90%(Ming Hung Fung/Liu Dong 1213) 無25-29.99%塊. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=19/07/2025&sced=15/01/2026&sc=02330&src=MAIN&lang=EN,"DI窗口4宗全為2025-10-28買入(承配人入場: CHEN HUI 37,737,146@0.18→8.33% IS20251031E00397; LIU XIAOLING 37,359,774@0.18→8.25% IS20251031E00416; Ming Hung Fung/Liu Dong 72,000,000→15.90%) → 無沽售. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=19/07/2025&sced=15/01/2026&sc=02330&src=MAIN&lang=EN",公告2025-10-17翌交易日(10-20)無任何DI申報. src=https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=19/07/2025&sced=15/01/2026&sc=02330&src=MAIN&lang=EN
