event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
配股_00254.hk_28/05/26,00254,-,True,DIRECT_SUBSCRIPTION,False
配股_00020.hk_17/04/26,00020,滙豐,False,AGENT_SOURCED,False
配股_00020.hk_18/12/25,00020,"國泰君安, 招銀國際",False,AGENT_SOURCED,False
供股_00036.hk_11/11/24,00036,,True,UNKNOWN,False
供股_00048.hk_10/09/25,00048,,True,UNKNOWN,False
供股_00073.hk_15/06/26,00073,,True,UNKNOWN,False
配股_00080.hk_29/05/26,00080,-,True,NO_DEF,False
配股_00080.hk_17/12/25,00080,-,False,NO_DEF,False
供股_00080.hk_02/10/25,00080,,True,UNKNOWN,False
配股_00092.hk_20/08/26,00092,山證國際,False,NO_DEF,False
配股_00092.hk_12/01/26,00092,金利豐,False,NO_DEF,False
供股_00094.hk_10/06/25,00094,,True,NO_DEF,False
配股_00100.hk_10/07/26,00100,"摩根士丹利, 瑞士銀行",False,AGENT_SOURCED,False
供股_00103.hk_13/05/25,00103,,True,UNKNOWN,False
供股_00103.hk_13/09/24,00103,,True,UNKNOWN,False
配股_00108.hk_05/12/25,00108,-,False,NO_DEF,False
配股_00110.hk_31/03/26,00110,-,True,DIRECT_SUBSCRIPTION,False
供股_00122.hk_22/10/25,00122,,True,UNKNOWN,False
配股_00139.hk_22/01/26,00139,-,True,AGENT_SOURCED,True
供股_00145.hk_09/10/25,00145,,True,UNKNOWN,False
供股_00163.hk_31/07/24,00163,,True,UNKNOWN,False
配股_00164.hk_30/03/26,00164,-,True,AGENT_SOURCED,True
供股_00164.hk_18/02/25,00164,,True,AGENT_SOURCED,True
配股_00164.hk_19/05/26,00164,-,True,DIRECT_SUBSCRIPTION,False
配股_00167.hk_13/02/26,00167,瑞邦,False,AGENT_SOURCED,False
配股_00174.hk_07/06/26,00174,-,True,DIRECT_SUBSCRIPTION,False
配股_00197.hk_08/10/25,00197,百惠,False,NO_DEF,False
供股_00197.hk_08/04/24,00197,,True,UNKNOWN,False
配股_00199.hk_22/04/26,00199,"招銀國際, 華興, 瑞邦, 百惠",False,AGENT_SOURCED,False
配股_00199.hk_20/01/26,00199,-,True,NO_DEF,False
配股_00199.hk_25/11/25,00199,-,True,DIRECT_SUBSCRIPTION,False
供股_00200.hk_25/04/25,00200,,True,UNKNOWN,False
配股_00204.hk_24/12/25,00204,"昌利, 伯克希爾資本",False,AGENT_SOURCED,False
供股_00204.hk_13/05/25,00204,,True,UNKNOWN,False
