go_ref,go_name,months_after_go,superseded,ann_title,event_id,input_row,source_file,stock_code,stock_name,ann_date,ann_type,mandate,placee_label,placee_name,placee_type,beneficial_owner,shares,price,price_source,pct_enlarged,pct_enlarged_source,below_5pct,lockup,independent_declared,completion_date,source_url,snippet,parse_confidence,fail_reason
GO_00389_13/08/26,王赫,0.2,,有關根據一般授權配售新股份之 配售協議終止,PGO_00389_20/08/2026 22:48,2.0,全購事件20260831.csv,00389,通天酒業,2026-08-20,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0820/2026082001842_c.pdf,,,NO_PLACEE_DEF
GO_01716_12/03/26,驍駿傳奇有限公司 (馬黎陽),4.3,,公告 有關根據一般授權配售新股份的第三份補充協議,PGO_01716_31/08/2026 21:33,33.0,全購事件20260831.csv,01716,毛記葵涌,2026-08-31,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0831/2026083102332_c.pdf,,,NO_PLACEE_DEF
GO_01716_12/03/26,驍駿傳奇有限公司 (馬黎陽),3.6,,公告 有關根據一般授權配售新股份的第二份補充協議,PGO_01716_10/08/2026 22:54,33.0,全購事件20260831.csv,01716,毛記葵涌,2026-08-10,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0810/2026081001371_c.pdf,,,NO_PLACEE_DEF
GO_01716_12/03/26,驍駿傳奇有限公司 (馬黎陽),2.9,,公告有關根據一般授權配售新股份的補充協議,PGO_01716_20/07/2026 22:55,33.0,全購事件20260831.csv,01716,毛記葵涌,2026-07-20,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001494_c.pdf,,,NO_PLACEE_DEF
GO_01716_12/03/26,驍駿傳奇有限公司 (馬黎陽),2.5,,公告 根據一般授權配售新股份,PGO_01716_07/07/2026 06:38,33.0,全購事件20260831.csv,01716,毛記葵涌,2026-07-07,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0707/2026070700086_c.pdf,,MED,NO_NAMED_PLACEE
GO_01429_23/01/26,大成國際控股有限公司 (鄒峰),6.1,,根據一般授權配售新股份完成,PGO_01429_08/09/2026 16:31,39.0,全購事件20260831.csv,01429,天任集團,2026-09-08,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0908/2026090800203_c.pdf,,,NO_PLACEE_DEF
GO_01429_23/01/26,大成國際控股有限公司 (鄒峰),5.3,0.0,根據一般授權配售新股份,PGO_01429_14/08/2026 22:28,39.0,全購事件20260831.csv,01429,天任集團,2026-08-14,配售,,承配人,靚拼國際控股有限公司,公司,鄒峰先生,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0814/2026081401984_c.pdf,"配售）的股 權架構。 緊隨完成後（假設全部配 於本公告日期 售股份獲悉數配售） 佔已發行 佔已發行 股份的概約 股份的概約 股份數目 百分比 股份數目 百分比 靚拼國際控股有限公司 （附註） 853,236,000 53.33 853,236,000 44.44 公眾股東 承配人 – – 320,000,000 16.67 其他公眾股東 746,764,000 46.67 74",,
GO_08031_19/01/26,Jumbo Growth Trading Limited (蕭文安),3.1,,完成根據一般授權配售新股份,PGO_08031_22/06/2026 17:13,42.0,全購事件20260831.csv,08031,易通訊集團,2026-06-22,配售,,,,,,,,,,,,,,2026-06-22,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0622/2026062200651_c.pdf,,,NO_PLACEE_DEF
GO_08031_19/01/26,Jumbo Growth Trading Limited (蕭文安),2.9,,補充公佈 根據一般授權配售新股份,PGO_08031_15/06/2026 17:15,42.0,全購事件20260831.csv,08031,易通訊集團,2026-06-15,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0615/2026061500833_c.pdf,,,NO_PLACEE_DEF
GO_08031_19/01/26,Jumbo Growth Trading Limited (蕭文安),2.4,0.0,根據一般授權配售新股份,PGO_08031_01/06/2026 21:58,42.0,全購事件20260831.csv,08031,易通訊集團,2026-06-01,配售,,承配人,行股本均由蕭先生,個人,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0601/2026060103933_c.pdf,"24.13% 總計 295,625,000 100.00% 354,745,000 100.00% 附註： 1. 宏進貿易為於薩摩亞註冊成立的公司，其全部已發行股本均由蕭先生持有。 股東及股份的潛在投資者務請注意，配售事項完成須待配售協議所載先決條 件獲達成後方始作實，而配售事項未必一定會進行。股東及潛在投資者在買賣 股份時務請審慎行事。 – 6 – 釋義 於本公佈內，除",,
GO_09929_03/12/25,姚記資本有限公司 (姚朔斌),3.1,,完成根據特別授權發行可換股債券,PGO_09929_24/04/2026 21:28,50.0,全購事件20260831.csv,09929,澳達控股,2026-04-24,完成根據特別授權發行可換股債券,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042403258_c.pdf,,,NO_PLACEE_DEF
GO_02442_02/12/25,天賦國際集團有限公司,3.6,,內幕消息 - 控股股東完成配售現有股份,PGO_02442_04/05/2026 22:27,51.0,全購事件20260831.csv,02442,怡俊集團控股,2026-05-04,配售,,,,,,,,,,,,,,2026-04-30,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0504/2026050403411_c.pdf,,,NO_PLACEE_DEF
GO_08403_26/11/25,孫維,2.8,,完成根據一般授權配售新股份,PGO_08403_30/04/2026 20:58,54.0,全購事件20260831.csv,08403,德豐宿來,2026-04-30,配售,,,,,,,,,,,,,,2026-04-30,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0430/2026043003679_c.pdf,,,NO_PLACEE_DEF
GO_08403_26/11/25,孫維,2.1,,根據一般授權配售新股份,PGO_08403_10/04/2026 21:06,54.0,全購事件20260831.csv,08403,德豐宿來,2026-04-10,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0410/2026041001280_c.pdf,,MED,NO_NAMED_PLACEE
GO_00167_17/11/25,"香港弘立科技有限公司, Horizon Heights (沈晶瑋)",1.6,,完成根據一般授權配售新股份,PGO_00167_12/03/2026 17:33,56.0,全購事件20260831.csv,00167,IDT INT'L,2026-03-12,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0312/2026031200653_c.pdf,,,NO_PLACEE_DEF
GO_00167_17/11/25,"香港弘立科技有限公司, Horizon Heights (沈晶瑋)",1.5,,(1)延長根據一般授權配售新股份的截止日期；及(2)根據一般授權配售新股份之補充公佈,PGO_00167_08/03/2026 18:03,56.0,全購事件20260831.csv,00167,IDT INT'L,2026-03-08,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0308/2026030800004_c.pdf,,,NO_PLACEE_DEF
GO_00167_17/11/25,"香港弘立科技有限公司, Horizon Heights (沈晶瑋)",0.8,,根據一般授權配售新股份,PGO_00167_13/02/2026 19:35,56.0,全購事件20260831.csv,00167,IDT INT'L,2026-02-13,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0213/2026021301304_c.pdf,,MED,NO_NAMED_PLACEE
GO_08208_13/11/25,永通萬國控股有限公司 (劉煥金),8.3,0.0,關連交易有關根據特別授權認購新股份,PGO_08208_08/09/2026 21:42,57.0,全購事件20260831.csv,08208,永通萬國集團,2026-09-08,認購,,認購人A,中國中西醫結合教育集團有限公司,公司,執行董事劉楹棟先生,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0908/2026090801168_c.pdf,款載列如下： 日期 二零二六年九月八日 認購協議之訂約方 (i) 本公司（作為發行人）；及 (ii) 各認購人（作為認購人）。 認購人之資料 認購人 認購人A 中國中西醫結合教育集團有限公司，一間於香港註冊成立的有 限公司。除投資控股外，其業務包括提供中西醫結合教育，包 括教育諮詢、職業技能培訓，以及向學校和機構提供課程設計 方面的專業支援。 認購人B 中國力明產教融合集團有限公司，一間,,
GO_08208_13/11/25,永通萬國控股有限公司 (劉煥金),8.3,0.0,關連交易有關根據特別授權認購新股份,PGO_08208_08/09/2026 21:42,57.0,全購事件20260831.csv,08208,永通萬國集團,2026-09-08,認購,,認購人B,中國力明產教融合集團有限公司,公司,執行董事劉楹棟先生,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0908/2026090801168_c.pdf,於香港註冊成立的有 限公司。除投資控股外，其業務包括提供中西醫結合教育，包 括教育諮詢、職業技能培訓，以及向學校和機構提供課程設計 方面的專業支援。 認購人B 中國力明產教融合集團有限公司，一間於英屬處女群島註冊成 立的有限公司。除投資控股外，其業務以教育為導向，包括產 教融合人才培養、與大學及教育機構的海外學術合作、國際遊 學項目開發，以及健康養生康復職業教育投資。 據董事經作出一切,,
GO_02623_04/11/25,"SSC Group Limited (吳振興, 魏嘉明), 吳海淦",6.8,,完成根據一般授權配售新股份,PGO_02623_04/08/2026 19:36,58.0,全購事件20260831.csv,02623,香港黃金產業集團,2026-08-04,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0804/2026080402000_c.pdf,,,NO_PLACEE_DEF
GO_02623_04/11/25,"SSC Group Limited (吳振興, 魏嘉明), 吳海淦",6.6,,更改供股所得款項用途； 有關根據一般授權配售新股份之補充公告； 及 本集團採礦業務之最新資料,PGO_02623_29/07/2026 17:58,58.0,全購事件20260831.csv,02623,香港黃金產業集團,2026-07-29,配售,,,,,,,,,,,,,,2026-04-14,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0729/2026072901025_c.pdf,,,NO_PLACEE_DEF
GO_02623_04/11/25,"SSC Group Limited (吳振興, 魏嘉明), 吳海淦",6.1,,延長有關根據一般授權配售新股份的完成日期,PGO_02623_14/07/2026 22:49,58.0,全購事件20260831.csv,02623,香港黃金產業集團,2026-07-14,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071401403_c.pdf,,,NO_PLACEE_DEF
GO_02623_04/11/25,"SSC Group Limited (吳振興, 魏嘉明), 吳海淦",5.3,,根據一般授權配售新股份,PGO_02623_18/06/2026 22:54,58.0,全購事件20260831.csv,02623,香港黃金產業集團,2026-06-18,配售,,承配人,,,,,,,,,,,,2026-03-30,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0618/2026061802289_c.pdf,,MED,NO_NAMED_PLACEE
GO_02623_04/11/25,"SSC Group Limited (吳振興, 魏嘉明), 吳海淦",1.5,,(1)須予披露交易 根據配售事項認購證券 及 (2)恢復買賣,PGO_02623_23/02/2026 22:58,58.0,全購事件20260831.csv,02623,香港黃金產業集團,2026-02-23,認購,,,,,,,,,,,,,,2026-02-25,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0223/2026022300885_c.pdf,,MED,NO_NAMED_PLACEE
GO_00643_24/10/25,"Zephyrus Capital Limited (孫邦桂), 曾俊豪",7.9,,進一步延長根據 一般性授權 配售新股份的配售期,PGO_00643_10/09/2026 19:18,61.0,全購事件20260831.csv,00643,恆富控股,2026-09-10,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0910/2026091001392_c.pdf,,,NO_PLACEE_DEF
GO_00643_24/10/25,"Zephyrus Capital Limited (孫邦桂), 曾俊豪",7.4,,進一步延長根據 一般性授權 配售新股份的配售期,PGO_00643_27/08/2026 20:15,61.0,全購事件20260831.csv,00643,恆富控股,2026-08-27,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0827/2026082701534_c.pdf,,,NO_PLACEE_DEF
GO_00643_24/10/25,"Zephyrus Capital Limited (孫邦桂), 曾俊豪",7.0,,補充公告 有關根據一般性授權配售新股份 及 恢復買賣,PGO_00643_14/08/2026 19:50,61.0,全購事件20260831.csv,00643,恆富控股,2026-08-14,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0814/2026081401594_c.pdf,,,NO_PLACEE_DEF
GO_00643_24/10/25,"Zephyrus Capital Limited (孫邦桂), 曾俊豪",6.9,,進一步延長根據 一般性授權 配售新股份的配售期,PGO_00643_13/08/2026 19:44,61.0,全購事件20260831.csv,00643,恆富控股,2026-08-13,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0813/2026081301297_c.pdf,,,NO_PLACEE_DEF
GO_00643_24/10/25,"Zephyrus Capital Limited (孫邦桂), 曾俊豪",6.5,,延長根據一般性授權配售新股份的配售期,PGO_00643_31/07/2026 22:08,61.0,全購事件20260831.csv,00643,恆富控股,2026-07-31,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0731/2026073102048_c.pdf,,,NO_PLACEE_DEF
GO_00643_24/10/25,"Zephyrus Capital Limited (孫邦桂), 曾俊豪",6.1,,(1)內幕消息接獲聲稱由MARS WORLDWIDE HOLDINGS LIMITED發出之函件以及配售事項之最新進展(2)恢復買賣,PGO_00643_20/07/2026 08:05,61.0,全購事件20260831.csv,00643,恆富控股,2026-07-20,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072000130_c.pdf,,,NO_PLACEE_DEF
GO_08631_26/09/25,全堡集團有限公司 (羅名譯),1.8,,完成根據一般授權配售新股份,PGO_08631_29/01/2026 12:02,67.0,全購事件20260831.csv,08631,申港控股,2026-01-29,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0129/2026012900260_c.pdf,,,NO_PLACEE_DEF
GO_08631_26/09/25,全堡集團有限公司 (羅名譯),1.6,,有關根據一般授權配售新股份之補充公佈,PGO_08631_22/01/2026 20:21,67.0,全購事件20260831.csv,08631,申港控股,2026-01-22,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0122/2026012201056_c.pdf,,,NO_PLACEE_DEF
GO_08631_26/09/25,全堡集團有限公司 (羅名譯),1.4,,根據一般授權配售新股份,PGO_08631_16/01/2026 22:29,67.0,全購事件20260831.csv,08631,申港控股,2026-01-16,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0116/2026011601778_c.pdf,,MED,NO_NAMED_PLACEE
GO_08507_23/09/25,三個蘋果產業控股集團 (香港) 有限公司 (吳奇峰),7.1,,根據按於記錄日期每持有一(1)股現有股份獲發一(1)股供股股份的基準進行供股申請認購供股股份及待進行補償安排之未獲認購供股股份及不合資格股東未售供股股份數目,PGO_08507_25/06/2026 18:30,69.0,全購事件20260831.csv,08507,愛世紀集團,2026-06-25,認購,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/gem/2026/0625/2026062501221_c.pdf,,,NO_PLACEE_DEF
GO_03928_10/08/25,萬疆資本有限公司 (王凱莉),5.0,,完成根據一般授權配售新股份,PGO_03928_25/02/2026 17:26,75.0,全購事件20260831.csv,03928,中國新零售供應鏈,2026-02-25,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0225/2026022500477_c.pdf,,,NO_PLACEE_DEF
GO_03928_10/08/25,萬疆資本有限公司 (王凱莉),4.5,,根據一般授權配售新股份,PGO_03928_10/02/2026 20:31,75.0,全購事件20260831.csv,03928,中國新零售供應鏈,2026-02-10,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0210/2026021001079_c.pdf,,MED,NO_NAMED_PLACEE
GO_01079_05/08/25,MicroNova Limited (于偉),3.2,,完成根據一般授權配售新股份,PGO_01079_22/12/2025 19:30,77.0,全購事件20260831.csv,01079,松景科技,2025-12-22,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1222/2025122201259_c.pdf,,,NO_PLACEE_DEF
GO_01079_05/08/25,MicroNova Limited (于偉),2.9,,有關根據一般授權配售新股份的補充公告,PGO_01079_12/12/2025 17:11,77.0,全購事件20260831.csv,01079,松景科技,2025-12-12,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1212/2025121200769_c.pdf,,,NO_PLACEE_DEF
GO_01079_05/08/25,MicroNova Limited (于偉),2.6,,根據一般授權配售新股份,PGO_01079_04/12/2025 22:45,77.0,全購事件20260831.csv,01079,松景科技,2025-12-04,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1204/2025120402591_c.pdf,,MED,NO_NAMED_PLACEE
GO_00080_17/07/25,Longling Capital Ltd (蔡文勝),12.0,,完成關連交易－根據特別授權認購新股份,PGO_00080_28/08/2026 16:30,81.0,全購事件20260831.csv,00080,ＣＡＩ控股,2026-08-28,認購,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0828/2026082800424_c.pdf,,,NO_PLACEE_DEF
GO_00080_17/07/25,Longling Capital Ltd (蔡文勝),9.0,0.0,關連交易有關根據特別授權認購新股份,PGO_00080_29/05/2026 21:38,81.0,全購事件20260831.csv,00080,ＣＡＩ控股,2026-05-29,認購,,認購人,為一間於2009年5月15日在英屬處女群島註冊成立之投資控股有限公司,公司,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0529/2026052902729_c.pdf,投資產品組合（包括不同行業的上市及非上市證券以及其他投資，並以AI及Web3 領域為重點），以取得長期資本增值。於本公告日期，本公司並無任何附屬公司。 認購人為一間於2009年5月15日在英屬處女群島註冊成立之投資控股有限公司，其 全部已發行股本由蔡先生實益擁有。認購人主要在中國及其他國家從事資本投資 業務。 進行認購事項之理由及所得款項用途 所得款項用途 認購事項所得款項總額約為141.9百萬港,,
GO_00080_17/07/25,Longling Capital Ltd (蔡文勝),3.6,,(1)須予披露及關連交易有關建議收購兩間目標公司之股權而涉及根據特別授權發行代價股份；及(2)建議採納2025年股份計劃,PGO_00080_17/12/2025 19:48,81.0,全購事件20260831.csv,00080,ＣＡＩ控股,2025-12-17,(1)須予披露及關連交易有關建議收購兩間,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1217/2025121701329_c.pdf,,MED,NO_NAMED_PLACEE
GO_02312_24/06/25,Longling Capital Ltd (蔡文勝),2.1,,完成根據一般授權認購新股份,PGO_02312_22/10/2025 16:30,85.0,全購事件20260831.csv,02312,ＬＯＮＧ投資集團,2025-10-22,認購,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1022/2025102200247_c.pdf,,,NO_PLACEE_DEF
GO_02312_24/06/25,Longling Capital Ltd (蔡文勝),1.6,0.0,根據一般授權認購新股份,PGO_02312_05/10/2025 19:04,85.0,全購事件20260831.csv,02312,ＬＯＮＧ投資集團,2025-10-05,認購,,認購人,Innoval Capital,公司,金鑫先生,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1005/2025100500092_c.pdf,市之聯交所上市 委員會 「上市規則」 指 聯交所證券上市規則 「股份」 指 本公司股本中每股面值0.04港元之普通股 「股東」 指 股份持有人 「認購人」 指 Innoval Capital Holding Limited，一間於英屬 維爾京群島註冊成立之公司，其全部已發行 股本由金鑫先生持有 「認購事項」 指 認購人按認購價認購認購股份 「認購協議」 指 認購人與本公司就認購事項而訂立,,
GO_01747_24/06/25,Meta-Wisdom Tech Limited (楊豪放),3.6,,完成根據一般授權配售新股份,PGO_01747_25/11/2025 17:59,86.0,全購事件20260831.csv,01747,HOME CONTROL,2025-11-25,配售,,,,,,,,,,,,,,2025-11-25,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1125/2025112500857_c.pdf,,,NO_PLACEE_DEF
GO_01747_24/06/25,Meta-Wisdom Tech Limited (楊豪放),3.4,,根據一般授權配售新股份,PGO_01747_18/11/2025 06:05,86.0,全購事件20260831.csv,01747,HOME CONTROL,2025-11-18,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1118/2025111800004_c.pdf,,MED,NO_NAMED_PLACEE
GO_02350_12/06/25,QH Technology Holdings Limited (閆威),11.0,,供股股份之有效接納結果及按每持有五(5)股股份獲發兩(2)股供股股份及每股供股股份0.275港元之基準進行供股的補償安排涉及之未獲認購供股股份及不合資格股東未售供股股份數目,PGO_02350_14/07/2026 16:53,88.0,全購事件20260831.csv,02350,數科集團,2026-07-14,認購,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0714/2026071400298_c.pdf,,,NO_PLACEE_DEF
GO_01728_28/05/25,信達汽車 (香港) 有限公司,12.0,,根據特別授權配售新股份,PGO_01728_30/06/2026 21:15,90.0,全購事件20260831.csv,01728,正通汽車,2026-06-30,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0630/2026063002748_c.pdf,,MED,NO_NAMED_PLACEE
GO_01728_28/05/25,信達汽車 (香港) 有限公司,14.0,,根據特別授權配售新股份之最後截止日期延長,PGO_01728_31/08/2026 19:32,90.0,全購事件20260831.csv,01728,正通汽車,2026-08-31,配售,,,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0831/2026083101819_c.pdf,,,NO_PLACEE_DEF
GO_01712_19/05/25,Wah Cheong Development (B.V.I.) Limited (聯合集團 - HKEX 0373),1.7,,完成根據一般授權配售新股份,PGO_01712_22/09/2025 17:45,91.0,全購事件20260831.csv,01712,龍資源,2025-09-22,配售,,,,,,,,,,,,,,2025-09-22,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0922/2025092201079_c.pdf,,,NO_PLACEE_DEF
GO_01712_19/05/25,Wah Cheong Development (B.V.I.) Limited (聯合集團 - HKEX 0373),1.2,,根據一般授權配售新股份,PGO_01712_08/09/2025 22:08,91.0,全購事件20260831.csv,01712,龍資源,2025-09-08,配售,,承配人,,,,,,,,,,,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0908/2025090801253_c.pdf,,MED,NO_NAMED_PLACEE
